# index, name, nodeLabel, _pos
396,ARFRP1,ARFRP1,"array([3.42464229, 7.11023683])"
397,TOP3B,TOP3B,"array([3.70311499, 7.11767986])"
398,SNRPB,SNRPB,"array([3.66474931, 7.23444514])"
399,SNRPA,SNRPA,"array([3.64464252, 7.24802687])"
400,PDZK1,PDZK1,"array([3.49566757, 7.09610076])"
401,SLC9A3,SLC9A3,"array([3.50651045, 7.09999109])"
402,SLC17A1,SLC17A1,"array([3.36562217, 6.94527045])"
403,OBSCN,OBSCN,"array([3.71636019, 7.06385325])"
404,SOX9,SOX9,"array([3.73201948, 7.12069809])"
405,NR5A1,NR5A1,"array([3.71209591, 7.12321282])"
406,NRIP1,NRIP1,"array([3.67752951, 7.15003158])"
407,CLU,CLU,"array([3.5945655 , 7.20543166])"
408,TGFBR2,TGFBR2,"array([3.58361437, 7.11864915])"
409,UNC13B,UNC13B,"array([3.49712173, 7.22696906])"
410,STX1A,STX1A,"array([3.53164226, 7.25001445])"
411,CD27,CD27,"array([3.59560275, 7.14083598])"
412,SIVA1,SIVA1,"array([3.60382765, 7.13787493])"
413,FKBP1A,FKBP1A,"array([3.60113876, 7.14253431])"
414,TGFBR1,TGFBR1,"array([3.57056329, 7.03268371])"
415,YY1,YY1,"array([3.67388025, 7.17888971])"
416,FKBP2,FKBP2,"array([3.66713436, 7.24719999])"
417,ARFGEF1,ARFGEF1,"array([3.67342715, 7.27045044])"
418,NCAPG2,NCAPG2,"array([3.79070494, 7.20658607])"
419,MYO7A,MYO7A,"array([3.68859058, 7.12053237])"
420,AKAP10,AKAP10,"array([3.56757985, 7.01274442])"
421,TCAP,TCAP,"array([3.59739799, 7.09854775])"
422,APBB1,APBB1,"array([3.64635363, 7.19922922])"
423,TFCP2,TFCP2,"array([3.66594741, 7.13537248])"
424,CEBPZ,CEBPZ,"array([3.71176886, 7.17196929])"
425,NFYB,NFYB,"array([3.68900905, 7.1307308 ])"
426,ZEB1,ZEB1,"array([3.64875448, 7.10543191])"
427,DRAP1,DRAP1,"array([3.70080321, 7.15292257])"
428,KAT5,KAT5,"array([3.66519133, 7.16907432])"
429,E2F1,E2F1,"array([3.68112015, 7.1670763 ])"
430,ATM,ATM,"array([3.67724813, 7.15962783])"
431,ABL1,ABL1,"array([3.61094729, 7.17926764])"
432,NTRK1,NTRK1,"array([3.55613162, 7.19083751])"
433,TTF2,TTF2,"array([3.68914782, 7.18329667])"
434,MYB,MYB,"array([3.69213614, 7.14802319])"
435,HRAS,HRAS,"array([3.59840602, 7.17722615])"
436,HSH2D,HSH2D,"array([3.56031439, 7.10175407])"
437,FES,FES,"array([3.62448701, 7.14750144])"
438,KRAS,KRAS,"array([3.61379448, 7.13182159])"
439,SRC,SRC,"array([3.60707093, 7.16215279])"
440,EPHB2,EPHB2,"array([3.55572885, 7.17694239])"
441,TNNC1,TNNC1,"array([3.53909922, 7.2358756 ])"
442,TNNT1,TNNT1,"array([3.67907265, 7.23612895])"
